<b>[Mental Model]</b> What is the core intuition and mechanism behind <b>Chesterton's Fence</b>?	"<h3>Chesterton's Fence</h3><p><i>Core Thinking & Reasoning | Philosophy & Evolutionary Systems</i></p><br><blockquote style='color:#d97706;'>""Do not remove a fence until you know why it was put there.""</blockquote><br><p><b>Summary:</b> The principle that reforms, deletions, or removals of existing structures, rules, or code should never be made until the underlying rationale for why they were established in the first place is thoroughly understood.</p><br><b>Mechanism:</b><br>Imagine walking down an overgrown country road and finding a wooden gate erected across it with no obvious purpose. An impulsive reformer exclaims: *""I see no use for this fence; let us clear it away immediately!""*<br><br>A wiser reformer responds: *""If you do not see the use of it, I certainly won't let you clear it away. Go away and think. When you can come back and tell me what the fence was built to keep in, or what it was built to keep out, only then will I consider letting you tear it down.""*"	mental-models core-thinking-and-reasoning
<b>[Decision Playbook]</b> When should you trigger <b>Chesterton's Fence</b>, and what key questions should you ask?	"<h3>Chesterton's Fence — Diagnostic Checklist</h3><br><b>Situational Triggers:</b><br><ul><li>Deleting legacy code, APIs, or database columns that seem ""redundant"" or ""ugly</li><li>Overhauling organizational processes, legal regulations, or operational rules</li><li>When newcomer arrogance urges tearing down existing systems without historic context</li></ul><br><b>Diagnostic Questions to Ask:</b><br><ol><li><b>Why does this specific code, rule, or architectural boundary exist in its current form?</b></li><li><b>Have we spoken with the original author, read git blame, examined commit messages, or reviewed past incident post-mortems?</b></li><li><b>What specific failure mode or edge-case catastrophic scenario does this boundary prevent?</b></li><li><b>Has the operating environment fundamentally changed such that the original reason for the fence is now provably invalid?</b></li><li><b>If we remove this barrier, what new monitoring or safety guardrail replaces its protective function?</b></li></ol>"	mental-models diagnostics core-thinking-and-reasoning
<b>[Mental Model]</b> What is the core intuition and mechanism behind <b>Circle of Competence</b>?	"<h3>Circle of Competence</h3><p><i>Core Thinking & Reasoning | Epistemology & Decision Theory</i></p><br><blockquote style='color:#d97706;'>""Knowing what you don't know is more useful than being brilliant.""</blockquote><br><p><b>Summary:</b> The practice of identifying the realistic boundaries of your genuine knowledge and expertise, ruthlessly operating within that boundary, and avoiding the illusion of skill outside of it.</p><br><b>Mechanism:</b><br>Picture a circle drawn on paper. Inside the circle are the areas where you possess deep, empirical, battle-tested expertise—where you understand not just the textbook definitions, but the hidden edge cases, failure modes, tacit nuances, and second-order dynamics.<br><br>Outside the circle lies everything else: domains where you have superficial familiarity, second-hand knowledge, or complete ignorance."	mental-models core-thinking-and-reasoning
<b>[Decision Playbook]</b> When should you trigger <b>Circle of Competence</b>, and what key questions should you ask?	<h3>Circle of Competence — Diagnostic Checklist</h3><br><b>Situational Triggers:</b><br><ul><li>Entering unfamiliar markets, technologies, or asset classes</li><li>Evaluating advice from charismatic generalists versus domain specialists</li><li>Deciding whether to build an in-house bespoke solution or outsource</li></ul><br><b>Diagnostic Questions to Ask:</b><br><ol><li><b>Can I articulate the counter-arguments to my position better than the smartest skeptics in this field?</b></li><li><b>Am I confusing my mastery in Field A (e.g., software engineering) with competence in Field B (e.g., macroeconomics, biotech)?</b></li><li><b>Do I understand the unwritten rules, common pitfalls, and tacit dynamics of this domain, or just the marketing buzzwords?</b></li><li><b>If I am outside my circle, am I partnering with vetted domain experts or relying on my own naive intuition?</b></li><li><b>Have I suffered real consequences in this domain, or is my confidence purely theoretical?</b></li></ol>	mental-models diagnostics core-thinking-and-reasoning
<b>[Mental Model]</b> What is the core intuition and mechanism behind <b>Falsifiability</b>?	"<h3>Falsifiability</h3><p><i>Core Thinking & Reasoning | Philosophy of Science & Epistemology</i></p><br><blockquote style='color:#d97706;'>""A statement is scientific if and only if it is falsifiable.""</blockquote><br><p><b>Summary:</b> The principle that for any hypothesis, theory, or statement to be considered genuinely scientific or predictive, it must be capable of being proven empirically false through observable evidence.</p><br><b>Mechanism:</b><br>Suppose someone tells you: *""There is a magical, invisible, intangible dragon living in my garage that emits heatless fire and cannot be detected by any physical instrument.""*<br><br>You cannot prove this claim wrong. Every test you propose is countered with an ad-hoc explanation for why the dragon evaded detection. Because no conceivable observation could ever disprove the statement, the statement carries **zero empirical information value**. It explains everything and therefore explains nothing."	mental-models core-thinking-and-reasoning
<b>[Decision Playbook]</b> When should you trigger <b>Falsifiability</b>, and what key questions should you ask?	<h3>Falsifiability — Diagnostic Checklist</h3><br><b>Situational Triggers:</b><br><ul><li>Evaluating unfalsifiable corporate strategies or hand-waving architecture claims</li><li>Designing rigorous A/B tests and production canary deployments</li><li>Identifying dogmatic beliefs, unfalsifiable excuses, and pseudo-science</li></ul><br><b>Diagnostic Questions to Ask:</b><br><ol><li><b>What specific, observable measurement or event would prove this hypothesis completely wrong?</b></li><li><b>If this strategy or project fails, what telemetry will definitively signal that failure within 60 days?</b></li><li><b>Are we constantly shifting goalposts and inventing post-hoc excuses whenever our predictions miss reality?</b></li><li><b>Is this test case structured so that it can actually fail if the underlying logic breaks? (Tautological test prevention)</b></li><li><b>Can the stakeholders articulate the exact conditions under which they would abandon this path?</b></li></ol>	mental-models diagnostics core-thinking-and-reasoning
<b>[Mental Model]</b> What is the core intuition and mechanism behind <b>First-Principles Thinking</b>?	"<h3>First-Principles Thinking</h3><p><i>Core Thinking & Reasoning | Physics & Epistemology</i></p><br><blockquote style='color:#d97706;'>""I know of no other way of thinking than starting with the fundamentals and reasoning up from there.""</blockquote><br><p><b>Summary:</b> The practice of deconstructing a problem down to its most fundamental, irreducible truths and building up a solution from scratch, rather than reasoning by analogy.</p><br><b>Mechanism:</b><br>First-principles thinking (reasoning from first principles, or *reasoning from the ground up*) is the act of boiling a complex system or dilemma down to the most fundamental, incontrovertible truths that cannot be deduced any further, and then constructing new understanding or solutions upward from those axioms.<br><br>Most human decision-making relies on **reasoning by analogy**: we look at what others are doing, copy the form, and tweak the margins. Analogy is computationally cheap and socially safe, but it inherently preserves the hidden inefficiencies, historical baggage, and false constraints of the past."	mental-models core-thinking-and-reasoning
<b>[Decision Playbook]</b> When should you trigger <b>First-Principles Thinking</b>, and what key questions should you ask?	"<h3>First-Principles Thinking — Diagnostic Checklist</h3><br><b>Situational Triggers:</b><br><ul><li>Facing deeply entrenched legacy assumptions or conventional wisdom</li><li>Seeking 10x breakthrough innovation or radical cost reduction</li><li>When standard industry analogies and ""best practices"" produce stagnation</li></ul><br><b>Diagnostic Questions to Ask:</b><br><ol><li><b>Are we accepting constraints simply because ""this is how it has always been done""?</b></li><li><b>What are the irreducible physical, mathematical, or empirical facts of this problem?</b></li><li><b>Which constraints are actual physical limits versus social, organizational, or historical artifacts?</b></li><li><b>If we built this system from a blank slate today with modern knowledge, what would it look like?</b></li><li><b>What are the raw unit economics/inputs when stripped of supplier markups and process legacy?</b></li></ol>"	mental-models diagnostics core-thinking-and-reasoning
<b>[Mental Model]</b> What is the core intuition and mechanism behind <b>Hanlon's Razor</b>?	"<h3>Hanlon's Razor</h3><p><i>Core Thinking & Reasoning | Cognitive Psychology & Social Systems</i></p><br><blockquote style='color:#d97706;'>""Never attribute to malice that which is adequately explained by stupidity.""</blockquote><br><p><b>Summary:</b> Never attribute to malice that which is adequately explained by carelessness, ignorance, incompetence, or cognitive overload.</p><br><b>Mechanism:</b><br>Hanlon's Razor is an emotional and cognitive parsimony principle. When an unexpected negative event occurs—an email ignored, an API silently modified, a colleague failing to deliver on a deadline—the human brain has an evolutionary tendency to concoct high-drama narratives of intentional malice, sabotage, or hostile disrespect.<br><br>In reality, orchestrating a coordinated, malevolent conspiracy requires immense energy, cunning, secrecy, and sustained attention. Most humans do not possess the bandwidth for this level of machination; they are simply busy, distracted, forgetful, cognitively overloaded, or acting on incomplete information."	mental-models core-thinking-and-reasoning
<b>[Decision Playbook]</b> When should you trigger <b>Hanlon's Razor</b>, and what key questions should you ask?	<h3>Hanlon's Razor — Diagnostic Checklist</h3><br><b>Situational Triggers:</b><br><ul><li>Interpersonal conflict, broken commitments, or team friction</li><li>Unexplained API breakages, customer complaints, or vendor slip-ups</li><li>Tendency to build paranoid conspiracy narratives around simple administrative errors</li></ul><br><b>Diagnostic Questions to Ask:</b><br><ol><li><b>Am I assuming an intentional hostile motive before verifying if simple misunderstanding or exhaustion was at play?</b></li><li><b>Could the person or team responsible simply have lacked context, training, or clear instructions?</b></li><li><b>Were the systemic incentives or tooling so broken that an honest mistake was practically inevitable?</b></li><li><b>What happens if I respond with curious fact-finding rather than aggressive confrontation?</b></li><li><b>Does this scenario genuinely involve an adversarial threat, or is it mundane organizational friction?</b></li></ol>	mental-models diagnostics core-thinking-and-reasoning
